File,ID,Language_ID,Language_name,Parameter_ID,Parameter_name,Value,Source,Comment
wals-chapter-50,50A-aco,aco,Acoma,50A,Asymmetrical Case-Marking,No case-marking,Maring-1967[49-53];Miller-1965[165-172],
wals-chapter-50,50A-pau,pau,Paumarí,50A,Asymmetrical Case-Marking,Subtractive-quantitatively asymmetrical,"Chapman-and-Derbyshire-1991[164-168, 198-201, 229-230, 250-254, 267-272, 274-275]",
wals-chapter-50,50A-arp,arp,Arapesh (Mountain),50A,Asymmetrical Case-Marking,No case-marking,"Fortune-1942[45-48];Conrad-and-Wogiga-1991[3, 15-17]",
wals-chapter-50,50A-ond,ond,Oneida,50A,Asymmetrical Case-Marking,No case-marking,Abbott-2000[49-50],
wals-chapter-50,50A-asm,asm,Asmat,50A,Asymmetrical Case-Marking,No case-marking,Voorhoeve-1965[156];Drabbe-1963[108-115],
wals-chapter-50,50A-ewe,ewe,Ewe,50A,Asymmetrical Case-Marking,No case-marking,Pasch-1995[61-67],
wals-chapter-50,50A-grb,grb,Grebo,50A,Asymmetrical Case-Marking,No case-marking,Innes-1966[50-53],
wals-chapter-50,50A-hmo,hmo,Hmong Njua,50A,Asymmetrical Case-Marking,No case-marking,Harriehausen-1990[passim],
wals-chapter-50,50A-khs,khs,Khasi,50A,Asymmetrical Case-Marking,No case-marking,Rabel-1961[passim],
wals-chapter-50,50A-khm,khm,Khmer,50A,Asymmetrical Case-Marking,No case-marking,Jacob-1968[passim];Campbell-2000[297-305],
wals-chapter-50,50A-kio,kio,Kiowa,50A,Asymmetrical Case-Marking,Symmetrical,"Watkins-1984[100-101, 183-184, 186-192, 210-211]",
wals-chapter-50,50A-wic,wic,Wichita,50A,Asymmetrical Case-Marking,Symmetrical,"Rood-1976[3-4, 10]",
wals-chapter-50,50A-juh,juh,Ju|'hoan,50A,Asymmetrical Case-Marking,No case-marking,Snyman-1970[180-181],
wals-chapter-50,50A-klv,klv,Kilivila,50A,Asymmetrical Case-Marking,No case-marking,Senft-1986[46-54],
wals-chapter-50,50A-nug,nug,Nunggubuyu,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Heath-1984[199-218, 241-254]",
wals-chapter-50,50A-irq,irq,Iraqw,50A,Asymmetrical Case-Marking,Symmetrical,"Mous-1993[83, 94-114, 126-127, 152-154]",
wals-chapter-50,50A-kew,kew,Kewa,50A,Asymmetrical Case-Marking,Symmetrical,"Franklin-1971[62-69, 86-90, 94-95]",
wals-chapter-50,50A-snm,snm,Sanuma,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Borgman-1990[28-33, 119-126, 149-151, 154-164]",
wals-chapter-50,50A-shk,shk,Shipibo-Konibo,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Valenzuela-1997[27-32, 89-97]",
wals-chapter-50,50A-epe,epe,Epena Pedee,50A,Asymmetrical Case-Marking,Symmetrical,"Harms-1994[9-10, 57-58, 65-83]",
wals-chapter-50,50A-ket,ket,Ket,50A,Asymmetrical Case-Marking,Symmetrical,"Werner-1997a[102-117, 132-134]",
wals-chapter-50,50A-koa,koa,Koasati,50A,Asymmetrical Case-Marking,Symmetrical,"Kimball-1991[388-404, 417-430]",
wals-chapter-50,50A-luv,luv,Luvale,50A,Asymmetrical Case-Marking,No case-marking,Horton-1949[passim],
wals-chapter-50,50A-san,san,Sango,50A,Asymmetrical Case-Marking,No case-marking,Samarin-1967b[passim],
wals-chapter-50,50A-bag,bag,Bagirmi,50A,Asymmetrical Case-Marking,No case-marking,Stevenson-1969[62-63],
wals-chapter-50,50A-hzb,hzb,Hunzib,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"van-den-Berg-1995[41-52, 57, 60-64]",
wals-chapter-50,50A-ing,ing,Ingush,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Nichols-1994b[95-97, 100-101]",
wals-chapter-50,50A-mau,mau,Maung,50A,Asymmetrical Case-Marking,Additive-quantitatively asymmetrical,"Capell-and-Hinch-1970[59-60, 88-89]",
wals-chapter-50,50A-kfe,kfe,Koromfe,50A,Asymmetrical Case-Marking,No case-marking,"Rennison-1997[244-246, 250, 294-297]",
wals-chapter-50,50A-qim,qim,Quechua (Imbabura),50A,Asymmetrical Case-Marking,Symmetrical,"Cole-1982[75-76, 101-130]",
wals-chapter-50,50A-ram,ram,Rama,50A,Asymmetrical Case-Marking,Syncretism in relevant NP-types,"Grinevald-nd[94-96, 103-104, 108-112, 114-120]",
